Description#String code#English#French
All#%all#All#Tous
Language code (ISO 639-1)#%lang-code#en#fr
Language name (English)#%lang-eng#English#French
Language name (French)#%lang-fra#anglais#franç̤ais
#%map#Map#Carte
#%of#of#de
#%size#Size#Grandeur
#%height#Height#Hauteur
#%width#Width#Largeur
#%minimum#Minimum#Minimum
#%maximum#Maximum#Maximum
#%selectItem#Select an item...#Sélectionner un item...
#%expand#Expand toolbar by default#Ouvrir l'outil par défault
#%openclose#Open/Close#Ouvrir/Fermer
#%opencloseclickdrag#Open/Close/Click and Drag#Ouvrir/Fermer/Cliquer et glisser
#%remove#Remove#Supprimer
#%refresh#Refresh#Rafraîchir
#%reset#Reset#Réinitialiser
#%default#Default#Défault
#%boollist#true;false#vraie;faux
#%msg-configread#Configuration file read#Fichier de configuration lu
#%msg-configerr#Configuration file error#Erreur fichier de configuration
#%projheader-title#GCViz Configuration File Creation#Création du fichier de configuration pour GCViz
#%projheader-newlabel#Create or open a configuration file#Créer ou ouvrir un fichier de configuration
#%projheader-savelabel#Save current map#Sauvegarder la carte courante
#%projheader-tpsavemap#Save map to a local file#Sauvegarder la carte dans un fichier local
#%projheader-tpnewmap#Create a blank map#Créer une nouvelle carte
#%projheader-tpopenmap#Open an existing map#Ouvrir une carte existante
#%projheader-tpdeletemap#Delete selected map#Supprimer la carte sélectionnée
#%projheader-tprestoremap#Restore map(s)#Restorer les cartes
#%map-checkuncheckall#Check/Uncheck All#Tous sélectionner/désélectionner
#%map-general#General Parameters:#Paramètres généraux :
#%map-helperservices#Helper Services Parameters:#Paramètres de services d'aide  :
#%map-mapservices#Map Services Parameters:#Paramètres des services cartographiques :
#%map-basetypelist#WMTS;ESRI Cache;WMS;ESRI Dynamic#WMTS;ESRI Cache;WMS;ESRI Dynamic
#%map-layertypelist#WMTS;ESRI Cache;WMS;ESRI Dynamic;ESRI Feature Layer#WMTS;ESRI Cache;WMS;ESRI Dynamic;ESRI Feature Layer
#%map-link#Link Maps#Cartes liées
#%map-zoom#Zoom to full screen#Zoom à l'étendue maximale
#%map-zoombar#Zoom bar (the level of details must be defined)#Barre de zoom (les niveaux de détails doivent être définis)
#%map-zoomsel#Zoom from map#Zoom avec la carte
#%map-previousnext#Previous and next extent#Étendues précédent et suivant
#%map-lods#Levels of details#Niveaux de détails
#%map-level#Level #Niveau 
#%map-resolution#Resolution#Résolution
#%map-basemap#Add Basemap#Ajouter une carte de base
#%map-spatialref#Spatial Reference#Référence spatiale 
